Standard,Subject,Grade,Strand,Standard Number,Description,,
South Carolina College and Career Ready Standards for ELA,English,12,English-2:Inquiry Based Literacy,E2.I.9-12.3.4,Organize and categorize important information; synthesize relevant ideas to build a deeper understanding; communicate new learning; and identify implications for future inquiry.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-2:Inquiry Based Literacy,E2.I.9-12.4.1,Employ a critical stance to analyze relationships and patterns of evidence to confirm conclusions.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-2:Inquiry Based Literacy,E2.I.9-12.4.1,Employ a critical stance to analyze relationships and patterns of evidence to confirm conclusions.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-2:Inquiry Based Literacy,E2.I.9-12.4.1,Employ a critical stance to analyze relationships and patterns of evidence to confirm conclusions.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-2:Inquiry Based Literacy,E2.I.9-12.4.1,Employ a critical stance to analyze relationships and patterns of evidence to confirm conclusions.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-2:Inquiry Based Literacy,E2.I.9-12.4.2,Evaluate findings; address conflicting information; identify misconceptions; and revise.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-2:Inquiry Based Literacy,E2.I.9-12.4.2,Evaluate findings; address conflicting information; identify misconceptions; and revise.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-2:Inquiry Based Literacy,E2.I.9-12.4.2,Evaluate findings; address conflicting information; identify misconceptions; and revise.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-2:Inquiry Based Literacy,E2.I.9-12.4.2,Evaluate findings; address conflicting information; identify misconceptions; and revise.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-2:Inquiry Based Literacy,E2.I.9-12.4.3,Determine appropriate disciplinary tools to communicate findings and/or take informed action.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-2:Inquiry Based Literacy,E2.I.9-12.4.3,Determine appropriate disciplinary tools to communicate findings and/or take informed action.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-2:Inquiry Based Literacy,E2.I.9-12.4.3,Determine appropriate disciplinary tools to communicate findings and/or take informed action.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-2:Inquiry Based Literacy,E2.I.9-12.4.3,Determine appropriate disciplinary tools to communicate findings and/or take informed action.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-2:Inquiry Based Literacy,E2.I.9-12.5.1,Acknowledge and consider individual and collective thinking; use feedback to guide the inquiry process.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-2:Inquiry Based Literacy,E2.I.9-12.5.1,Acknowledge and consider individual and collective thinking; use feedback to guide the inquiry process.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-2:Inquiry Based Literacy,E2.I.9-12.5.1,Acknowledge and consider individual and collective thinking; use feedback to guide the inquiry process.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-2:Inquiry Based Literacy,E2.I.9-12.5.1,Acknowledge and consider individual and collective thinking; use feedback to guide the inquiry process.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-2:Inquiry Based Literacy,E2.I.9-12.5.2,Analyze and evaluate previous assumptions; test claims; predict outcomes; and justify results to guide future action.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-2:Inquiry Based Literacy,E2.I.9-12.5.2,Analyze and evaluate previous assumptions; test claims; predict outcomes; and justify results to guide future action.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-2:Inquiry Based Literacy,E2.I.9-12.5.2,Analyze and evaluate previous assumptions; test claims; predict outcomes; and justify results to guide future action.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-2:Inquiry Based Literacy,E2.I.9-12.5.2,Analyze and evaluate previous assumptions; test claims; predict outcomes; and justify results to guide future action.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-2:Inquiry Based Literacy,E2.I.9-12.5.3,Analyze the process to evaluate and revise plan and strategies; address successes and misconceptions; and apply learning to future inquiry.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-2:Inquiry Based Literacy,E2.I.9-12.5.3,Analyze the process to evaluate and revise plan and strategies; address successes and misconceptions; and apply learning to future inquiry.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-2:Inquiry Based Literacy,E2.I.9-12.5.3,Analyze the process to evaluate and revise plan and strategies; address successes and misconceptions; and apply learning to future inquiry.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-2:Inquiry Based Literacy,E2.I.9-12.5.3,Analyze the process to evaluate and revise plan and strategies; address successes and misconceptions; and apply learning to future inquiry.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-2:Reading: Literary Text,E2.RL.9-12.1.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-2:Reading: Literary Text,E2.RL.9-12.1.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-2:Reading: Literary Text,E2.RL.9-12.1.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-2:Reading: Literary Text,E2.RL.9-12.1.1,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-2:Reading: Literary Text,E2.RL.9-12.1.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-2:Reading: Literary Text,E2.RL.9-12.1.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-2:Reading: Literary Text,E2.RL.9-12.1.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,12,English-2:Reading: Literary Text,E2.RL.9-12.1.2,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,9,English-2:Reading: Literary Text,E2.RL.9-12.1.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,10,English-2:Reading: Literary Text,E2.RL.9-12.1.3,Students are expected to build upon and continue applying previous learning.,,
South Carolina College and Career Ready Standards for ELA,English,11,English-2:Reading: Literary Text,E2.RL.9-12.1.3,Students are expected to build upon and continue applying previous learning.,,
