Standard,Subject,Grade,Strand,Standard Number,Description,,,,
Iowa Core Standards: Math,Math,9,Trigonometric Functions,HSF.TF.A.2,"Explain how the unit circle in the coordinate plane enables the extension of trigonometric functions to all real numbers, interpreted as radian measures of angles traversed counterclockwise around the unit circle.",,,,
Iowa Core Standards: Math,Math,10,Trigonometric Functions,HSF.TF.A.2,"Explain how the unit circle in the coordinate plane enables the extension of trigonometric functions to all real numbers, interpreted as radian measures of angles traversed counterclockwise around the unit circle.",,,,
Iowa Core Standards: Math,Math,11,Trigonometric Functions,HSF.TF.A.2,"Explain how the unit circle in the coordinate plane enables the extension of trigonometric functions to all real numbers, interpreted as radian measures of angles traversed counterclockwise around the unit circle.",,,,
Iowa Core Standards: Math,Math,12,Trigonometric Functions,HSF.TF.A.2,"Explain how the unit circle in the coordinate plane enables the extension of trigonometric functions to all real numbers, interpreted as radian measures of angles traversed counterclockwise around the unit circle.",,,,
Iowa Core Standards: Math,Math,9,Trigonometric Functions,HSF.TF.A.3,"(+) Use special triangles to determine geometrically the values of sine, cosine, tangent for π/3, π/4 and π/6, and use the unit circle to express the values of sine, cosine, and tangent for π-x, π+x, and 2π-x in terms of their values for x, where x is any real number.",,,,
Iowa Core Standards: Math,Math,10,Trigonometric Functions,HSF.TF.A.3,"(+) Use special triangles to determine geometrically the values of sine, cosine, tangent for π/3, π/4 and π/6, and use the unit circle to express the values of sine, cosine, and tangent for π-x, π+x, and 2π-x in terms of their values for x, where x is any real number.",,,,
Iowa Core Standards: Math,Math,11,Trigonometric Functions,HSF.TF.A.3,"(+) Use special triangles to determine geometrically the values of sine, cosine, tangent for π/3, π/4 and π/6, and use the unit circle to express the values of sine, cosine, and tangent for π-x, π+x, and 2π-x in terms of their values for x, where x is any real number.",,,,
Iowa Core Standards: Math,Math,12,Trigonometric Functions,HSF.TF.A.3,"(+) Use special triangles to determine geometrically the values of sine, cosine, tangent for π/3, π/4 and π/6, and use the unit circle to express the values of sine, cosine, and tangent for π-x, π+x, and 2π-x in terms of their values for x, where x is any real number.",,,,
Iowa Core Standards: Math,Math,9,Trigonometric Functions,HSF.TF.A.4,(+) Use the unit circle to explain symmetry (odd and even) and periodicity of trigonometric functions.,,,,
Iowa Core Standards: Math,Math,10,Trigonometric Functions,HSF.TF.A.4,(+) Use the unit circle to explain symmetry (odd and even) and periodicity of trigonometric functions.,,,,
Iowa Core Standards: Math,Math,11,Trigonometric Functions,HSF.TF.A.4,(+) Use the unit circle to explain symmetry (odd and even) and periodicity of trigonometric functions.,,,,
Iowa Core Standards: Math,Math,12,Trigonometric Functions,HSF.TF.A.4,(+) Use the unit circle to explain symmetry (odd and even) and periodicity of trigonometric functions.,,,,
Iowa Core Standards: Math,Math,9,Trigonometric Functions,HSF.TF.B,Model periodic phenomena with trigonometric functions,,,,
Iowa Core Standards: Math,Math,10,Trigonometric Functions,HSF.TF.B,Model periodic phenomena with trigonometric functions,,,,
Iowa Core Standards: Math,Math,11,Trigonometric Functions,HSF.TF.B,Model periodic phenomena with trigonometric functions,,,,
Iowa Core Standards: Math,Math,12,Trigonometric Functions,HSF.TF.B,Model periodic phenomena with trigonometric functions,,,,
Iowa Core Standards: Math,Math,9,Trigonometric Functions,HSF.TF.B.5,"Choose trigonometric functions to model periodic phenomena with specified amplitude, frequency, and midline.",,,,
Iowa Core Standards: Math,Math,10,Trigonometric Functions,HSF.TF.B.5,"Choose trigonometric functions to model periodic phenomena with specified amplitude, frequency, and midline.",,,,
Iowa Core Standards: Math,Math,11,Trigonometric Functions,HSF.TF.B.5,"Choose trigonometric functions to model periodic phenomena with specified amplitude, frequency, and midline.",,,,
Iowa Core Standards: Math,Math,12,Trigonometric Functions,HSF.TF.B.5,"Choose trigonometric functions to model periodic phenomena with specified amplitude, frequency, and midline.",,,,
Iowa Core Standards: Math,Math,9,Trigonometric Functions,HSF.TF.B.6,(+) Understand that restricting a trigonometric function to a domain on which it is always increasing or always decreasing allows its inverse to be constructed.,,,,
Iowa Core Standards: Math,Math,10,Trigonometric Functions,HSF.TF.B.6,(+) Understand that restricting a trigonometric function to a domain on which it is always increasing or always decreasing allows its inverse to be constructed.,,,,
Iowa Core Standards: Math,Math,11,Trigonometric Functions,HSF.TF.B.6,(+) Understand that restricting a trigonometric function to a domain on which it is always increasing or always decreasing allows its inverse to be constructed.,,,,
Iowa Core Standards: Math,Math,12,Trigonometric Functions,HSF.TF.B.6,(+) Understand that restricting a trigonometric function to a domain on which it is always increasing or always decreasing allows its inverse to be constructed.,,,,
Iowa Core Standards: Math,Math,9,Trigonometric Functions,HSF.TF.B.7,"(+) Use inverse functions to solve trigonometric equations that arise in modeling contexts; evaluate the solutions using technology, and interpret them in terms of the context.",,,,
Iowa Core Standards: Math,Math,10,Trigonometric Functions,HSF.TF.B.7,"(+) Use inverse functions to solve trigonometric equations that arise in modeling contexts; evaluate the solutions using technology, and interpret them in terms of the context.",,,,
Iowa Core Standards: Math,Math,11,Trigonometric Functions,HSF.TF.B.7,"(+) Use inverse functions to solve trigonometric equations that arise in modeling contexts; evaluate the solutions using technology, and interpret them in terms of the context.",,,,
Iowa Core Standards: Math,Math,12,Trigonometric Functions,HSF.TF.B.7,"(+) Use inverse functions to solve trigonometric equations that arise in modeling contexts; evaluate the solutions using technology, and interpret them in terms of the context.",,,,
Iowa Core Standards: Math,Math,9,Trigonometric Functions,HSF.TF.C,Prove and apply trigonometric identities,,,,
Iowa Core Standards: Math,Math,10,Trigonometric Functions,HSF.TF.C,Prove and apply trigonometric identities,,,,
Iowa Core Standards: Math,Math,11,Trigonometric Functions,HSF.TF.C,Prove and apply trigonometric identities,,,,
Iowa Core Standards: Math,Math,12,Trigonometric Functions,HSF.TF.C,Prove and apply trigonometric identities,,,,
Iowa Core Standards: Math,Math,9,Trigonometric Functions,HSF.TF.C.8,"Prove the Pythagorean identity sin²(θ) + cos²(θ) = 1 and use it to find sin(θ), cos(θ), or tan(θ) given sin(θ), cos(θ), or tan(θ) and the quadrant of the angle.",,,,
Iowa Core Standards: Math,Math,10,Trigonometric Functions,HSF.TF.C.8,"Prove the Pythagorean identity sin²(θ) + cos²(θ) = 1 and use it to find sin(θ), cos(θ), or tan(θ) given sin(θ), cos(θ), or tan(θ) and the quadrant of the angle.",,,,
Iowa Core Standards: Math,Math,11,Trigonometric Functions,HSF.TF.C.8,"Prove the Pythagorean identity sin²(θ) + cos²(θ) = 1 and use it to find sin(θ), cos(θ), or tan(θ) given sin(θ), cos(θ), or tan(θ) and the quadrant of the angle.",,,,
Iowa Core Standards: Math,Math,12,Trigonometric Functions,HSF.TF.C.8,"Prove the Pythagorean identity sin²(θ) + cos²(θ) = 1 and use it to find sin(θ), cos(θ), or tan(θ) given sin(θ), cos(θ), or tan(θ) and the quadrant of the angle.",,,,
Iowa Core Standards: Math,Math,9,Trigonometric Functions,HSF.TF.C.9,"(+) Prove the addition and subtraction formulas for sine, cosine, and tangent and use them to solve problems.",,,,
Iowa Core Standards: Math,Math,10,Trigonometric Functions,HSF.TF.C.9,"(+) Prove the addition and subtraction formulas for sine, cosine, and tangent and use them to solve problems.",,,,
Iowa Core Standards: Math,Math,11,Trigonometric Functions,HSF.TF.C.9,"(+) Prove the addition and subtraction formulas for sine, cosine, and tangent and use them to solve problems.",,,,
Iowa Core Standards: Math,Math,12,Trigonometric Functions,HSF.TF.C.9,"(+) Prove the addition and subtraction formulas for sine, cosine, and tangent and use them to solve problems.",,,,
Iowa Core Standards: Math,Math,9,Congruence,HSG.CO.A,Experiment with transformations in the plane,,,,
Iowa Core Standards: Math,Math,10,Congruence,HSG.CO.A,Experiment with transformations in the plane,,,,
Iowa Core Standards: Math,Math,11,Congruence,HSG.CO.A,Experiment with transformations in the plane,,,,
Iowa Core Standards: Math,Math,12,Congruence,HSG.CO.A,Experiment with transformations in the plane,,,,
Iowa Core Standards: Math,Math,9,Congruence,HSG.CO.A.1,"Know precise definitions of angle, circle, perpendicular line, parallel line, and line segment, based on the undefined notions of point, line, distance along a line, and distance around a circular arc.",,,,
Iowa Core Standards: Math,Math,10,Congruence,HSG.CO.A.1,"Know precise definitions of angle, circle, perpendicular line, parallel line, and line segment, based on the undefined notions of point, line, distance along a line, and distance around a circular arc.",,,,
Iowa Core Standards: Math,Math,11,Congruence,HSG.CO.A.1,"Know precise definitions of angle, circle, perpendicular line, parallel line, and line segment, based on the undefined notions of point, line, distance along a line, and distance around a circular arc.",,,,
Iowa Core Standards: Math,Math,12,Congruence,HSG.CO.A.1,"Know precise definitions of angle, circle, perpendicular line, parallel line, and line segment, based on the undefined notions of point, line, distance along a line, and distance around a circular arc.",,,,
Iowa Core Standards: Math,Math,9,Congruence,HSG.CO.A.2,"Represent transformations in the plane using, e.g., transparencies and geometry software; describe transformations as functions that take points in the plane as inputs and give other points as outputs. Compare transformations that preserve distance and angle to those that do not (e.g., translation versus horizontal stretch).",,,,
Iowa Core Standards: Math,Math,10,Congruence,HSG.CO.A.2,"Represent transformations in the plane using, e.g., transparencies and geometry software; describe transformations as functions that take points in the plane as inputs and give other points as outputs. Compare transformations that preserve distance and angle to those that do not (e.g., translation versus horizontal stretch).",,,,
