Standard,Subject,Grade,Strand,Standard Number,Description,,,,,,
Ohio ELA Standard,English,4,Speaking and Listening Standards,SL.4.3,Identify the reasons and evidence a speaker provides to support particular points.,,,,,,
Ohio ELA Standard,English,5,Speaking and Listening Standards,SL.5.1,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 5 topics and texts, building on others' ideas and expressing their own clearly.",,,,,,
Ohio ELA Standard,English,5,Speaking and Listening Standards,SL.5.1.a,"Come to discussions prepared, having read or studied required material; explicitly draw on that preparation and other information known about the topic to explore ideas under discussion.",,,,,,
Ohio ELA Standard,English,5,Speaking and Listening Standards,SL.5.1.b,Follow agreed-upon rules for discussions and carry out assigned roles.,,,,,,
Ohio ELA Standard,English,5,Speaking and Listening Standards,SL.5.1.c,Pose and respond to specific questions by making comments that contribute to the discussion and elaborate on the remarks of others.,,,,,,
Ohio ELA Standard,English,5,Speaking and Listening Standards,SL.5.1.d,Review the key ideas expressed and draw conclusions in light of information and knowledge gained from the discussions.,,,,,,
Ohio ELA Standard,English,5,Speaking and Listening Standards,SL.5.2,"Summarize a written text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally.",,,,,,
Ohio ELA Standard,English,5,Speaking and Listening Standards,SL.5.3,Summarize the points a speaker makes and explain how each claim is supported by reasons and evidence.,,,,,,
Ohio ELA Standard,English,6,Speaking and Listening Standards,SL.6.1,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 6 topics, texts, and issues, building on others' ideas and expressing their own clearly.",,,,,,
Ohio ELA Standard,English,6,Speaking and Listening Standards,SL.6.1.a,"Come to discussions prepared, having read or studied required material; explicitly draw on that preparation by referring to evidence on the topic, text, or issue to probe and reflect on ideas under discussion.",,,,,,
Ohio ELA Standard,English,6,Speaking and Listening Standards,SL.6.1.b,"Follow rules for collegial discussions, set specific goals and deadlines, and define individual roles as needed.",,,,,,
Ohio ELA Standard,English,6,Speaking and Listening Standards,SL.6.1.c,"Pose and respond to specific questions with elaboration and detail by making comments that contribute to the topic, text, or issue under discussion.",,,,,,
Ohio ELA Standard,English,6,Speaking and Listening Standards,SL.6.1.d,Review the key ideas expressed and demonstrate understanding of multiple perspectives through reflection and paraphrasing.,,,,,,
Ohio ELA Standard,English,6,Speaking and Listening Standards,SL.6.2,"Interpret information presented in diverse media and formats (e.g., visually, quantitatively, orally) and explain how it contributes to a topic, text, or issue under study",,,,,,
Ohio ELA Standard,English,6,Speaking and Listening Standards,SL.6.3,"Delineate a speaker's argument and specific claims, distinguishing claims that are supported by reasons and evidence from claims that are not.",,,,,,
Ohio ELA Standard,English,7,Speaking and Listening Standards,SL.7.1,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 7 topics, texts, and issues, building on others' ideas and expressing their own clearly.",,,,,,
Ohio ELA Standard,English,7,Speaking and Listening Standards,SL.7.1.a,"Come to discussions prepared, having read or researched material under study; explicitly draw on that preparation by referring to evidence on the topic, text, or issue to probe and reflect on ideas under discussion.",,,,,,
Ohio ELA Standard,English,7,Speaking and Listening Standards,SL.7.1.b,"Follow rules for collegial discussions, track progress toward specific goals and deadlines, and define individual roles as needed.",,,,,,
Ohio ELA Standard,English,7,Speaking and Listening Standards,SL.7.1.c,Pose questions that elicit elaboration and respond to others' questions and comments with relevant observations and ideas that bring the discussion back on topic as needed.,,,,,,
Ohio ELA Standard,English,7,Speaking and Listening Standards,SL.7.1.d,"Acknowledge new information expressed by others and, when warranted, modify their own views.",,,,,,
Ohio ELA Standard,English,7,Speaking and Listening Standards,SL.7.2,"Analyze the main ideas and supporting details presented in diverse media and formats (e.g., visually, quantitatively, orally) and explain how the ideas clarify a topic, text, or issue under study.",,,,,,
Ohio ELA Standard,English,7,Speaking and Listening Standards,SL.7.3,"Delineate a speaker's argument and specific claims, evaluating the soundness of the reasoning and the relevance and sufficiency of the evidence.",,,,,,
Ohio ELA Standard,English,8,Speaking and Listening Standards,SL.8.1,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 8 topics, texts, and issues, building on others' ideas and expressing their own clearly.",,,,,,
Ohio ELA Standard,English,8,Speaking and Listening Standards,SL.8.1.a,"Come to discussions prepared, having read or researched material under study; explicitly draw on that preparation by referring to evidence on the topic, text, or issue to probe and reflect on ideas under discussion.",,,,,,
Ohio ELA Standard,English,8,Speaking and Listening Standards,SL.8.1.b,"Follow rules for collegial discussions and decision-making, track progress toward specific goals and deadlines, and define individual roles as needed.",,,,,,
Ohio ELA Standard,English,8,Speaking and Listening Standards,SL.8.1.c,"Pose questions that connect the ideas of several speakers and respond to others' questions and comments with relevant evidence, observations, and ideas.",,,,,,
Ohio ELA Standard,English,8,Speaking and Listening Standards,SL.8.1.d,"Acknowledge new information expressed by others, and, when warranted, qualify or justify their own views in light of the evidence presented.",,,,,,
Ohio ELA Standard,English,8,Speaking and Listening Standards,SL.8.2,"Analyze the purpose of information presented in diverse media and formats (e.g., visually, quantitatively, orally) and evaluate the motives (e.g., social, commercial, political) behind its presentation.",,,,,,
Ohio ELA Standard,English,8,Speaking and Listening Standards,SL.8.3,"Delineate a speaker's argument and specific claims, evaluating the soundness of the reasoning and relevance and sufficiency of the evidence and identifying when irrelevant evidence is introduced.",,,,,,
Ohio ELA Standard,English,9,Speaking and Listening Standards,SL.9-10.1,"Initiate and participate effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grades 9–10 topics, texts, and issues, building on others' ideas and expressing their own clearly and persuasively.",,,,,,
Ohio ELA Standard,English,10,Speaking and Listening Standards,SL.9-10.1,"Initiate and participate effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grades 9–10 topics, texts, and issues, building on others' ideas and expressing their own clearly and persuasively.",,,,,,
Ohio ELA Standard,English,9,Speaking and Listening Standards,SL.9-10.1.a,"Come to discussions prepared, having read and researched material under study; explicitly draw on that preparation by referring to evidence from texts and other research on the topic or issue to stimulate a thoughtful, well-reasoned exchange of ideas.",,,,,,
